State,District,Year,Hazard Score,Exposure Score,Vulnerability Score,Risk Score,Risk Category,Missing_Tiers
Madhya Pradesh,Shivpuri,2020,0.170747397,,0.606063792,0.388405595,Medium Risk,Exposure
Madhya Pradesh,Shivpuri,2021,0.661941843,,0.634368535,0.648155189,High Risk,Exposure
Madhya Pradesh,Sidhi,2020,0.485532059,,0.554243972,0.519888016,Medium Risk,Exposure
Madhya Pradesh,Sidhi,2021,0.449627536,,0.530979288,0.490303412,Medium Risk,Exposure
Madhya Pradesh,Singrauli,2020,0.472907585,,0.559149576,0.516028581,Medium Risk,Exposure
Madhya Pradesh,Singrauli,2021,0.619688512,,0.546082729,0.58288562,Medium Risk,Exposure
Madhya Pradesh,Tikamgarh,2020,0.199923432,,0.535390304,0.367656868,Medium Risk,Exposure
Madhya Pradesh,Tikamgarh,2021,0.425416369,,0.528118322,0.476767346,Medium Risk,Exposure
Madhya Pradesh,Ujjain,2020,0.435280963,,0.634144956,0.53471296,Medium Risk,Exposure
Madhya Pradesh,Ujjain,2021,0.455437873,,0.635334589,0.545386231,Medium Risk,Exposure
Madhya Pradesh,Umaria,2020,0.266550055,,0.448026577,0.357288316,Medium Risk,Exposure
Madhya Pradesh,Umaria,2021,0.279781839,,0.456996136,0.368388988,Medium Risk,Exposure
Madhya Pradesh,Vidisha,2020,0.331365769,,0.553679788,0.442522779,Medium Risk,Exposure
Madhya Pradesh,Vidisha,2021,0.31505015,,0.571695585,0.443372867,Medium Risk,Exposure
Madhya Pradesh,West Nimar,2020,0.398438272,,,0.398438272,Medium Risk,"Exposure, Vulnerability"
Madhya Pradesh,West Nimar,2021,0.098041659,,,0.098041659,Low Risk,"Exposure, Vulnerability"
Maharashtra,Ahmednagar,2020,0.492645274,,0.63552777,0.564086522,Medium Risk,Exposure
Maharashtra,Ahmednagar,2021,0.395514828,,0.640694034,0.518104431,Medium Risk,Exposure
Maharashtra,Akola,2020,0.218448386,,0.531975015,0.3752117,Medium Risk,Exposure
Maharashtra,Akola,2021,0.34698521,,0.551219329,0.44910227,Medium Risk,Exposure
Maharashtra,Amravati,2020,0.152926645,,,0.152926645,Low Risk,"Exposure, Vulnerability"
Maharashtra,Amravati,2021,0.291233702,,,0.291233702,Low Risk,"Exposure, Vulnerability"
Maharashtra,Aurangabad,2020,0.521214403,,,0.521214403,Medium Risk,"Exposure, Vulnerability"
Maharashtra,Aurangabad,2021,0.633531028,,,0.633531028,High Risk,"Exposure, Vulnerability"
Maharashtra,Bhandara,2020,0.4539243,,0.518693252,0.486308776,Medium Risk,Exposure
Maharashtra,Bhandara,2021,0.209770239,,0.494137616,0.351953928,Medium Risk,Exposure
Maharashtra,Beed,2020,0.459034978,,0.611565494,0.535300236,Medium Risk,Exposure
